Author,File,WordsByAuthorByFile
Gerd Aschemann,KeycloakAuthentication.groovy,"[[""ADDED"",""KEYCLOAK"",""AS"",""AUTH"",""PROVIDER"",""NEW"",""/REST/PREFERENCES"",""\nMERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER\nADDED"",""LOGGING\n""]]"
Falk Sippach,org.jboss.arquillian.core.spi.LoadableExtension,"[[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""]]"
Dirk Mahler,ConferenceDataExtractor.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Dirk Mahler,3.png,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nMERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Falk Sippach,5257_1.jpg,"[[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
Christofer Dutz,application.properties,"[["""",""ADDED"",""RESSOURCE"",""CLASS"",""WRAP"",""RESOURCES"",""SENT"",""BACK"",""BY"",""SERVER"",""INSTEAD"",""RELYING"",""MAP"",""MAPS\n"",""ADDED"",""SUPPORT"",""SCHED"",""CONFERENCES\n""]]"
Falk Sippach,KeycloakLoginIT.java,"[[""CALCULATED"",""NUMBEROFFAVOURITES\n""]]"
Dirk Mahler,logo.png,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nMERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nMERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Dirk Mahler,5281_1.jpg,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Falk Sippach,5248_1.jpg,"[[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
Christofer Dutz,AbstractPageIT.java,"[["""",""ADDED"",""FIRST"",""VERSION"",""RESOURCESERVICE"",""WHICH"",""WILL"",""RETURN"",""IMAGE"",""RESOURCES"",""NEEDED"",""BY"",""FLEX"",""CLIENT.\n"",""CHANGED"",""BUILD"",""CONFIG"",""USE"",""WAR"",""OVERLAYS"",""INSTEAD"",""DEPENDENCY"",""PLUGIN"",""EMBEDDING"",""HTML"",""CLIENT\n"",""ADDED"",""FAILSAFE"",""CONFIGRUATION"",""RUN"",""INTEGRATION"",""TEST"",""PHASE"",""MOVED"",""GUI"",""TESTS"",""BEING"",""INTEGRATION"",""TESTS"",""BY"",""RENAMING"",""THEM"",""XYZTEST"",""XYZIT\n""]]"
Dirk Mahler,5235_1.jpg,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Gerd Aschemann,FiltersRepository.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""]]"
Falk Sippach,Speaker.java,"[[""FIXED"",""MISSING"",""TRACK"",""INFORMATION"",""TALK"",""ADDED"",""SPEAKER"",""ID\nMISSING"",""RENAMINGS"",""ROOM"",""TALK"",""FIXED\nMISSING"",""RENAMINGS"",""ROOM"",""TALK"",""FIXED\nFIXED"",""COMPILER"",""BUG\nRENAMED"",""TALK"",""EVENT\nADDED"",""TALK"",""LIST"",""SPEAKER\nADDED"",""SPEAKER"",""REST"",""SERVICE"",""MOVED"",""ALL"",""CURRENT"",""REST"",""SERVICES"",""UNDER"",""CONFERENCE\nADDED"",""FIRST"",""LASTNAME"",""CLEANED"",""UP"",""TWITTER"",""HANDLES\nJAVALAND"",""SPEAKER"",""INFORMATION"",""ADDED\nMERGE"",""REQUEST"",""18"",""DUKECON/METADATA\n\nFIXED"",""MISSING"",""TRACK"",""INFORMATION"",""TALK"",""ADDED"",""SPEAKER"",""IDMERGE"",""REQUEST"",""27"",""DUKECON/METADATA\n\nFIXED"",""COMPILER"",""BUGMERGE"",""REQUEST"",""26"",""DUKECON/METADATA\n\nRENAMED"",""ROOM"",""LOCATIONMERGE"",""REQUEST"",""20"",""DUKECON/METADATA\n\nADDED"",""SPEAKER"",""REST"",""SERVICE"",""MOVED"",""ALL"",""CURRENT"",""REST"",""SERVICES"",""UNDER"",""CONFERENCEMERGE"",""REQUEST"",""21"",""DUKECON/METADATA\n\nADDED"",""TALK"",""LIST"",""SPEAKERMERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n""]]"
Christofer Dutz,MetaData.java,"[["""",""REMOVED"",""BI"",""DIRECTIONAL"",""PROPERTIES\n"",""MOVED"",""METADATA"",""PROPERTIES"",""BACK"",""CONFERENCE\n"",""FINE"",""TUNED"",""MODEL"",""CLASSES\n"",""FINE"",""TUNED"",""SERIALIZATION"",""SERIALIZE"",""JAVA"",""LOCALDATETIME"",""OBJECTS"",""AS"",""ACTIONSCRIPT"",""DATE"",""OBJECTS\n"",""REMOVED"",""PRIVATEOWNED"",""ATTRIBUTE\n"",""MAJOR"",""REFACTORING\nADDED"",""CONFERENCE"",""PROPERTIES"",""ALMOST"",""ALL"",""MODEL"",""TYPES"",""FULL"",""MODEL"",""BOTH"",""RELATIONAL"",""DIRECTIONS\n""]]"
Falk Sippach,arquillian.xml,"[[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""]]"
Falk Sippach,GUITESTING.adoc,"[[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""]]"
Gerd Aschemann,CurrentConferenceResource.groovy,"[[""DEFAULT"",""CONFERENCE"",""ID"",""NOW"",""JL2017\nMERGE"",""DEVELOP"",""CONFERENCE"",""ADAPTER"",""MULTITENANT\n""]]"
Falk Sippach,5511_2.jpg,"[[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
Niko Köbler,.gitignore,"[[""ADD"",""IDEA"",""SETTINGS"","".GITIGNORE\nMERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n\n"",""BY"",""GERD"",""ASCHEMANN\n"",""VIA"",""GERD"",""ASCHEMANN\n*"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER:\n"",""UPDATE"",""README.MD\n"",""ADDED"",""VERSIONEYE"",""DEPENDENCY"",""STATUS\n"",""MAKE"",""VERSIONEYE"",""HAPPY\n""]]"
Falk Sippach,DetailPageTest.java,"[[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""]]"
Dirk Mahler,SchedDataProviderHealthIndicator.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Dirk Mahler,javaland-speaker-2017.raw,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Christofer Dutz,Audience.java,"[["""",""REMOVED"",""BI"",""DIRECTIONAL"",""PROPERTIES\n"",""MOVED"",""METADATA"",""PROPERTIES"",""BACK"",""CONFERENCE\n"",""FINE"",""TUNED"",""MODEL"",""CLASSES\n"",""FINE"",""TUNED"",""SERIALIZATION"",""SERIALIZE"",""JAVA"",""LOCALDATETIME"",""OBJECTS"",""AS"",""ACTIONSCRIPT"",""DATE"",""OBJECTS\n"",""MAJOR"",""REFACTORING\nADDED"",""CONFERENCE"",""PROPERTIES"",""ALMOST"",""ALL"",""MODEL"",""TYPES"",""FULL"",""MODEL"",""BOTH"",""RELATIONAL"",""DIRECTIONS\n""]]"
Gerd Aschemann,MetaImpl.groovy,"[[""A"",""FIRST"",""I.E"",""HARD"",""CODED"",""IMPLEMENTATION"",""/META\n""]]"
Falk Sippach,AbstractPage.java,"[[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""]]"
Gerd Aschemann,2.png,"[[""MERGE"",""FEATURE/BLAZEDS"",""SERVER"",""DEVELOP\n""]]"
Christofer Dutz,Styles.java,"[["""",""ADDED"",""ABILITY"",""READ"",""STYLE"",""INFORMATION"",""GIVEN"",""CONFERENCE"",""CONFERENCESERVICE\n"",""EXTENDED"",""CONFERENCE"",""REST"",""CONTROLLER"",""GENERATE"",""STYLES.CSS"",""RESOURCES"",""FLY\n""]]"
Dirk Mahler,ResourceServiceImpl.java,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Falk Sippach,WebResourceDataProviderRemote.groovy,"[[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\nTEMPORARELY"",""DEACTIVATED"",""HYSTRIX"",""DUE"",""PROBLEMS"",""JAR"",""EXECUTION"",""MODE\nINTERMEDIATE"",""STATE"",""READING"",""CONFERENCE"",""RESOURCES"",""WORKING"",""JAVALAND"",""2016"",""2017\nINTERMEDIATE"",""STATE"",""REFACTORING"",""MULTITENANT"",""DATA"",""PROVIDER\nBIG"",""REFACTORING"",""MULTITENANT"",""CONFERENCE"",""DATAPROVIDERS"",""ADDED"",""INITIAL"",""WEBRESOURCEDATAPROVIDER"",""CONFIGURED"",""BEANDEFINITIONREGISTRY"",""IT\nREFACTORING"",""DATAPROVIDER\nREFACTORING"",""DATA"",""LOADING"",""RE"",""ENABLING"",""HYSTRIX\nREFACTORING"",""RAW"",""DATA"",""RESOURCE"",""MANAGEMENT\nUPDATE"",""WEBRESOURCEDATAPROVIDERREMOTE.GROOVY""]]"
Falk Sippach,ContextExtension.java,"[[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""]]"
Dirk Mahler,WebResourceLocalBackup.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Falk Sippach,conferences-test.yml,"[[""INTERMEDIATE"",""STATE"",""REFACTORING"",""MULTITENANT"",""DATA"",""PROVIDER\nREFACTORING"",""DATAPROVIDER\nREFACTORING"",""RAW"",""DATA"",""RESOURCE"",""MANAGEMENT\nFIXED"",""TEST"",""ERRORS"",""ADDED"",""SPRING"",""CONTEXT"",""INITIALIZER"",""SPRING"",""INTEGRATION"",""TESTS\nJAVALAND"",""SPEAKER"",""INFORMATION"",""ADDED\n""]]"
Falk Sippach,DukeConServerApplication.groovy,"[[""H2"",""DATABASE"",""WEB"",""CONSOLE"",""INTEGRATED\nCALCULATING"",""PARTITION"",""EVENTS"",""CLOCK"",""SLICES"",""SERVER"",""SIDE"",""EVENT"",""SLICES"",""SLICEDEVENTS"",""AS"",""REST"",""SERVICE\nHTTP"",""ETAG"",""CONFIG"",""ADDED\nMERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\nREFACTORED"",""DIVIDE"",""BETWEEN"",""PROD"",""TEST"",""ENV"",""POSTGRESQL\nMERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\nBIG"",""REFACTORING"",""MULTITENANT"",""CONFERENCE"",""DATAPROVIDERS\nMERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\nADDED"",""EXTERNAL"",""CONFERENCE"",""CONFIGURATION\nFIXED"",""TEST"",""ERRORS"",""ADDED"",""SPRING"",""CONTEXT"",""INITIALIZER"",""SPRING"",""INTEGRATION"",""TESTS\nINITIAL"",""SPRING"",""BOOT"",""SETUP\nMERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n""]]"
Falk Sippach,DoagSingleSpeakerMapper.groovy,"[[""REFACTORING"",""SPEAKER"",""MAPPING\nMERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\nADDED"",""FIRST"",""LASTNAME"",""CLEANED"",""UP"",""TWITTER"",""HANDLES\nGENERALIZATION"",""READING"",""SPEAKER"",""DATA"",""SPLITTING"",""FIRST"",""LASTNAME"",""AS"",""NEEDED\nMERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\nJAVALAND"",""SPEAKER"",""INFORMATION"",""ADDED\n""]]"
Falk Sippach,apacheconeu2016.raw,"[[""INTERMEDIATE"",""STATE"",""REFACTORING"",""MULTITENANT"",""DATA"",""PROVIDER\n""]]"
Alexander Schwartz,DetailPageTag.java,"[[""PROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN\nMERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""]]"
Gerd Aschemann,meta_schema.json,"[[""MOVED"",""RAML"",""FILES"",""MAVEN"",""RESOURCES"",""FOLDER\nMERGE"",""MASTER"",""APIASMVN\nADDED"",""JAVA"",""IMPLEMENTATION"",""HINTS"",""AVOID"",""UGLY"",""JSONXXX"",""CLASS"",""NAMES\nMERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n""]]"
Falk Sippach,5285_1.jpg,"[[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
Michal Harakal,pom.xml,"[[""ADDED"",""SWAGGER"",""MAVEN"",""PLUGIN"",""GENERATING"",""SWAGGER.JSON"",""FILE"",""ACCORDING"",""SWAGGER"",""ANNOTATIONS\n""]]"
Dirk Mahler,5290_1.jpg,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Falk Sippach,ConferencesConfigurationServiceSpec.groovy,"[[""RENAMED"",""WILLBECOMEFULL"",""VERYPOPULAR"",""TESTS"",""FIXED\nCALCULATED"",""NUMBEROFFAVOURITES\nSWITCHED"",""INIT.JSON"",""REST/CONFERENCES"",""TALKPROVIDER"",""CONFIGURATION"",""DATA\n""]]"
Falk Sippach,Location.java,"[[""ADDED"",""ICONS"",""METADATA\nMERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\nRENAMED"",""ROOM"",""LOCATION\nADDED"",""FULLYBOOKED"",""NUMBEROFFAVORITES"",""LOCATIONCAPACITY"",""MODEL\nMERGE"",""REQUEST"",""26"",""DUKECON/METADATA\n\nRENAMED"",""ROOM"",""LOCATION""]]"
Christofer Dutz,KeycloakConfigService.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tIMPL/SRC/MAIN/JAVA/ORG/DUKECON/SERVER/SERVICE/ABSTRACTPREFERENCESSERVICE.GROOVY\n""]]"
Gerd Aschemann,application-postgresql-test.properties,"[[""REPLACED"",""POSTGRESQL"",""PARAMETERS"",""BY"",""PLACEHOLDERS"",""MAKE"",""CONFIGURATION"",""EASIER\nMERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""]]"
annam002,JavalandDataProviderHealthIndicatorSpec.groovy,"[[""MERGE"",""DEVELOP"",""FEATURE/MODULARIZE\nCREATE"",""INTERFACE"",""PROVIDING"",""CONFERENCE"",""DATA\n""]]"
Alexander Schwartz,DetailsPage.java,"[[""PROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN\nMERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""]]"
Dirk Mahler,HeiseDataExtractorSpec.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Falk Sippach,OrderAndNamable.java,"[[""TALKS"",""REST"",""SERVICE"",""V2"",""META"",""DATA"",""REFERENCE\nREFACTORING"",""META"",""DATA"",""LOOKUP\nREMOVED"",""OBSOLETE"",""CODE"",""AFTER"",""REFACTORING"",""METADATA"",""LOOKUP\nMERGE"",""REQUEST"",""16"",""DUKECON/METADATA\n\nMETADATAMERGE"",""REQUEST"",""15"",""DUKECON/METADATA\n\nMETADATA""]]"
Falk Sippach,application-release.properties,"[[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""METADATA\n""]]"
Alexander Schwartz,NoAuthPreferencesServices.groovy,"[[""MERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""]]"
Gerd Aschemann,Talk.java,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""]]"
Falk Sippach,JavalandDataRemote.groovy,"[[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\nBIG"",""REFACTORING"",""MULTITENANT"",""CONFERENCE"",""DATAPROVIDERS\nINTERMEDIATE"",""STATE"",""REFACTORING"",""MULTITENANT"",""DATA"",""PROVIDER\n""]]"
Christofer Dutz,499959.properties,"[["""",""ADDED"",""ABILITY"",""READ"",""STYLE"",""INFORMATION"",""GIVEN"",""CONFERENCE"",""CONFERENCESERVICE\n"",""EXTENDED"",""CONFERENCE"",""REST"",""CONTROLLER"",""GENERATE"",""STYLES.CSS"",""RESOURCES"",""FLY\n""]]"
Niko Köbler,Speaker.java,"[[""ADD"",""CREATED"",""MODEL"",""BE"",""ABLE"",""GET"",""RID"",""GENERATED"",""STUFF"",""\n""]]"
Falk Sippach,javaland-speaker-2016.raw,"[[""JAVALAND"",""SPEAKER"",""INFORMATION"",""ADDED\nJAVALAND"",""SPEAKER"",""INFORMATION"",""ADDED\nSPEAKER"",""IMAGES"",""REST"",""RESOURCE\nADDED"",""TEST"",""DATA\nADDED"",""TEST"",""DATA\n""]]"
Gerd Aschemann,ServletInitializer.groovy,"[[""MOVED"",""IMPLEMENTATION"",""MODULE"",""SUB"",""FOLDER\nADDED"",""USER"",""PREFERENCES"",""PERSISTENCE"",""...\nMOVED"",""SERVLETINITIALIZER\nMERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""]]"
Gerd Aschemann,DukeConServerApplicationTests.groovy,"[[""MOVED"",""IMPLEMENTATION"",""MODULE"",""SUB"",""FOLDER\n""]]"
Dirk Mahler,Amf0Output.java,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
annam002,versioneye.properties,"[[""MERGE"",""DEVELOP"",""FEATURE/MODULARIZE\nMERGE"",""DEVELOP"",""FEATURE/MODULARIZE\nMERGE"",""DEVELOP"",""FEATURE/MODULARIZE\n""]]"
Falk Sippach,5224_2.jpg,"[[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
Dirk Mahler,6.jpg,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nMERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Falk Sippach,FavoritesRepositorySpec.groovy,"[[""REFACTORING"",""PACKAGE"",""STRUCTURE\nRENAMED"",""WILLBECOMEFULL"",""VERYPOPULAR"",""TESTS"",""FIXED\nNEW"",""EVENT"",""FIELD"",""WILLBECOMEFULL"",""MAPPING"",""MAPPING"",""CAPACITY"",""TESTS"",""FIXED\nFIXED"",""TEST"",""ERROR\nCALCULATED"",""NUMBEROFFAVOURITES\nFIXED"",""TEST"",""ERRORS"",""ADDED"",""SPRING"",""CONTEXT"",""INITIALIZER"",""SPRING"",""INTEGRATION"",""TESTS\n""]]"
Falk Sippach,5288_1.jpg,"[[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
Gerd Aschemann,dukecon.raml,"[[""MOVED"",""RAML"",""FILES"",""MAVEN"",""RESOURCES"",""FOLDER\nFIXED"",""TYPO\nMERGE"",""MASTER"",""APIASMVN\nMERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n""]]"
Dirk Mahler,README.md,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Alexander Schwartz,ContextExtension.java,"[[""PROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN\nMERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""]]"
Falk Sippach,HeiseLanguageMapper.groovy,"[[""BIG"",""REFACTORING"",""MULTITENANT"",""CONFERENCE"",""DATAPROVIDERS\n""]]"
Gerd Aschemann,InitResource.groovy,"[[""SWITCH"",""JAVALAND"",""2017\nSHIFTED"",""PARAMETERS"",""RESOURCE"",""INIT.JSON\n""]]"
Gerd Aschemann,UserFilters.java,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""]]"
Falk Sippach,5236_2.jpg,"[[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
Dirk Mahler,JavalandDataProvider.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Niko Köbler,meta_example.json,"[[""FIRST"",""DRAFT"",""META"",""API\nREMOVED"",""NOW"",""UNUSED"",""RAML"",""JSON"",""SCHEMA"",""FILES\n""]]"
Alexander Schwartz,org.jboss.arquillian.core.spi.LoadableExtension,"[[""PROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN\nMERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""]]"
Dirk Mahler,Audience.java,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Falk Sippach,application-testdata.properties,"[[""MERGE"",""REQUEST"",""17"",""DUKECON/METADATA\n\nMETADATAMERGE"",""REQUEST"",""18"",""DUKECON/METADATA\n\nFIXED"",""MISSING"",""TRACK"",""INFORMATION"",""TALK"",""ADDED"",""SPEAKER"",""IDMERGE"",""REQUEST"",""20"",""DUKECON/METADATA\n\nADDED"",""SPEAKER"",""REST"",""SERVICE"",""MOVED"",""ALL"",""CURRENT"",""REST"",""SERVICES"",""UNDER"",""CONFERENCEMERGE"",""REQUEST"",""21"",""DUKECON/METADATA\n\nADDED"",""TALK"",""LIST"",""SPEAKERMERGE"",""REQUEST"",""19"",""DUKECON/METADATA\n\nCHANGED"",""I18N"",""MESSAGE"",""KEY"",""LANGUAGE"",""STRINGMERGED\n""]]"
Niko Köbler,JerseyConfig.java,"[[""REMOVED"",""DEPENDENCY"",""API"",""PROJECT"",""USING"",""OWN"",""MODEL"",""SERVICE"",""CLASSES\nTHIS"",""C"",""LEAN\n""]]"
Falk Sippach,5241_1.jpg,"[[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
Dirk Mahler,Styles.java,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Gerd Aschemann,PreferencesRepositorySpec.groovy,"[[""ADDED"",""USER"",""PREFERENCES"",""PERSISTENCE"",""...\n""]]"
Christofer Dutz,FlexASTranslator.java,"[["""",""REMOVED"",""BI"",""DIRECTIONAL"",""PROPERTIES\n"",""MOVED"",""METADATA"",""PROPERTIES"",""BACK"",""CONFERENCE\n"",""FINE"",""TUNED"",""MODEL"",""CLASSES\n"",""FINE"",""TUNED"",""SERIALIZATION"",""SERIALIZE"",""JAVA"",""LOCALDATETIME"",""OBJECTS"",""AS"",""ACTIONSCRIPT"",""DATE"",""OBJECTS\n""]]"
Gerd Aschemann,.gitattributes,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\nMERGE"",""REQUEST"",""33"",""AHUS1/DEVELOP\n\nADDING"",""MAVEN"",""WRAPPER"",""MAKE"",""ENABLE"",""BUILD"",""DUKECON"",""INFRA""]]"
Gerd Aschemann,JavalandDataProviderHealthIndicator.groovy,"[[""MERGE"",""DEVELOP"",""CONFERENCE"",""ADAPTER"",""MULTITENANT\nMERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\nMERGE"",""REQUEST"",""34"",""AHUS1/DEVELOP\n\nADDED"",""HEALTH"",""CHECK"",""SPRING"",""BOOT"",""STYLEMERGE"",""REQUEST"",""35"",""AHUS1/PERSISTENT"",""CACHE\n\nADDING"",""HYSTRIX"",""AS"",""CIRCUIT"",""BREAKER"",""WHEN"",""CALLING"",""DOAG""]]"
Dirk Mahler,tst.html,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n""]]"
Alexander Schwartz,AbstractPage.java,"[[""PROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN\nMAKE"",""SELENIUM"",""TESTS"",""ROBUST\nMERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\nMERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\nMOVE"",""TESTING"",""FIREFOX"",""ADDING"",""FIRST"",""KEYCLOAK"",""TEST\n""]]"
